StudyNum,Study,mediangrouprespN,mediangroupresp,mouse,MouseResp,drug,cellline,MouseRespN,mousenum,NumMiceAnalyzed,included,type
1,0501-A1-1,0,PD1,1,PD2,501,A1,2,1,9,Yes,Solid Tumor
1,0501-A1-1,0,PD1,2,PD2,501,A1,2,2,9,Yes,Solid Tumor
1,0501-A1-1,0,PD1,3,PD1,501,A1,0,3,9,Yes,Solid Tumor
1,0501-A1-1,0,PD1,4,PD2,501,A1,2,4,9,Yes,Solid Tumor
1,0501-A1-1,0,PD1,5,PD1,501,A1,0,5,9,Yes,Solid Tumor
1,0501-A1-1,0,PD1,6,PD1,501,A1,0,6,9,Yes,Solid Tumor
1,0501-A1-1,0,PD1,7,PD2,501,A1,2,7,9,Yes,Solid Tumor
1,0501-A1-1,0,PD1,8,PD1,501,A1,0,8,9,Yes,Solid Tumor
1,0501-A1-1,0,PD1,9,PD1,501,A1,0,9,9,Yes,Solid Tumor
86,0503-A1-1,2,PD2,1,PR,503,A1,6,1,10,Yes,Solid Tumor
86,0503-A1-1,2,PD2,2,SD,503,A1,4,2,10,Yes,Solid Tumor
86,0503-A1-1,2,PD2,3,PD2,503,A1,2,3,10,Yes,Solid Tumor
86,0503-A1-1,2,PD2,4,PD2,503,A1,2,4,10,Yes,Solid Tumor
86,0503-A1-1,2,PD2,5,PD2,503,A1,2,5,10,Yes,Solid Tumor
86,0503-A1-1,2,PD2,6,PD2,503,A1,2,6,10,Yes,Solid Tumor
86,0503-A1-1,2,PD2,7,PD2,503,A1,2,7,10,Yes,Solid Tumor
86,0503-A1-1,2,PD2,8,PD2,503,A1,2,8,10,Yes,Solid Tumor
86,0503-A1-1,2,PD2,9,PD2,503,A1,2,9,10,Yes,Solid Tumor
86,0503-A1-1,2,PD2,10,PD2,503,A1,2,10,10,Yes,Solid Tumor
133,0504-A1-1,2,PD2,1,PD2,504,A1,2,1,9,Yes,Solid Tumor
133,0504-A1-1,2,PD2,2,PD2,504,A1,2,2,9,Yes,Solid Tumor
133,0504-A1-1,2,PD2,4,PD1,504,A1,0,3,9,Yes,Solid Tumor
133,0504-A1-1,2,PD2,5,PD2,504,A1,2,4,9,Yes,Solid Tumor
133,0504-A1-1,2,PD2,6,PR,504,A1,6,5,9,Yes,Solid Tumor
133,0504-A1-1,2,PD2,7,SD,504,A1,4,6,9,Yes,Solid Tumor
133,0504-A1-1,2,PD2,8,CR,504,A1,8,7,9,Yes,Solid Tumor
133,0504-A1-1,2,PD2,9,PD1,504,A1,0,8,9,Yes,Solid Tumor
133,0504-A1-1,2,PD2,10,PD2,504,A1,2,9,9,Yes,Solid Tumor
172,0505-A1-1,3,PD2,1,PD1,505,A1,0,1,10,Yes,Solid Tumor
172,0505-A1-1,3,PD2,2,PD1,505,A1,0,2,10,Yes,Solid Tumor
172,0505-A1-1,3,PD2,3,PD1,505,A1,0,3,10,Yes,Solid Tumor
172,0505-A1-1,3,PD2,4,CR,505,A1,8,4,10,Yes,Solid Tumor
172,0505-A1-1,3,PD2,5,CR,505,A1,8,5,10,Yes,Solid Tumor
172,0505-A1-1,3,PD2,6,PD1,505,A1,0,6,10,Yes,Solid Tumor
172,0505-A1-1,3,PD2,7,PR,505,A1,6,7,10,Yes,Solid Tumor
172,0505-A1-1,3,PD2,8,CR,505,A1,8,8,10,Yes,Solid Tumor
172,0505-A1-1,3,PD2,9,CR,505,A1,8,9,10,Yes,Solid Tumor
172,0505-A1-1,3,PD2,10,PD1,505,A1,0,10,10,Yes,Solid Tumor
218,0506-A1-1,0,PD1,1,PD1,506,A1,0,1,9,Yes,Solid Tumor
218,0506-A1-1,0,PD1,2,PD1,506,A1,0,2,9,Yes,Solid Tumor
218,0506-A1-1,0,PD1,3,PD1,506,A1,0,3,9,Yes,Solid Tumor
218,0506-A1-1,0,PD1,4,PD1,506,A1,0,4,9,Yes,Solid Tumor
218,0506-A1-1,0,PD1,5,PD1,506,A1,0,5,9,Yes,Solid Tumor
218,0506-A1-1,0,PD1,6,PD1,506,A1,0,6,9,Yes,Solid Tumor
218,0506-A1-1,0,PD1,7,PD1,506,A1,0,7,9,Yes,Solid Tumor
218,0506-A1-1,0,PD1,8,PD1,506,A1,0,8,9,Yes,Solid Tumor
218,0506-A1-1,0,PD1,10,PD1,506,A1,0,9,9,Yes,Solid Tumor
260,0507-A1-1,2,PD2,1,PD2,507,A1,2,1,10,Yes,Solid Tumor
260,0507-A1-1,2,PD2,2,PD2,507,A1,2,2,10,Yes,Solid Tumor
260,0507-A1-1,2,PD2,3,PD2,507,A1,2,3,10,Yes,Solid Tumor
260,0507-A1-1,2,PD2,4,PR,507,A1,6,4,10,Yes,Solid Tumor
260,0507-A1-1,2,PD2,5,PD2,507,A1,2,5,10,Yes,Solid Tumor
260,0507-A1-1,2,PD2,6,PD1,507,A1,0,6,10,Yes,Solid Tumor
